;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
9901;Úvod;;Vítej, </br> Pøíbìh je má první hra, je je¹tì v prvotní fázi vıvoje, mohou se tu proto vyskytovat poruchy, pokud nìjakou najde¹ øekni mi o ní. </br> Je mo¾né ¾e má hra obèas nebude fungovat, bude to proto¾e provádím update na serveru. </br>I v této høe jsou zpùsoby jak podvádìt, pokud ale bude¹ podvádìt zkazí¹ si zá¾itek ze hry </br> Easter eggy </br> Ve høe jsou Easter eggy, ka¾dı takovı Easter egg obsahuje kód. Ten kód zaèíná znakem #. </br> Pokud ho najde¹ a po¹le¹ mi ten kód dostane¹ odmìnu. </br> Odmìnu ani kód k ní prosím nijak ne¹iø, je to urèeno pouze nálezcùm. </br> Jednotlivé hry na sebe mohou odkazovat. </br> Pokud na mì nemá¹ kontakt, moje e-mailová adresa je fasterracer1@gmail.com . </br> U¾ij si hru. </br> </br> Fasterracer01;9902;Hrát;;;;;;;;
9902;Jsi doma;;Je sobota odpoledne a chce¹ se do veèera nìèím zabavit, co bude¹ dìlat?;9903;èíst si kní¾ku;9905;podívat se na poèítaè;;;;;;
9903;Jsi u knihovny;;Najdi kní¾ku co by jsi chtìl èíst;9904;Prohledat knihovnu;9902;nechci si èíst kní¾ku;;;;;;
9904;Perníková chaloupka;;Na¹el si kní¾ku Perníková chaloupka. Chce¹ si ji pøeèíst?;33;Zaèít èíst;9903;Podívat se po jiné;;;;;;
9905;Jsi u poèítaèe;;Co chce¹ dìlat?;10000;zahrát si <strong>Zákopovou bitvu</strong>;9907;zahrát si <strong>Bludi¹tì</strong>;9906;pøeèíst si zprávy;9902;jít pryè;;
9906;Jsi na www.nejzpravy.cz;;<strong>Co se to zase dìje?!</strong></br>Vìt¹ina èeskıch obchodù je vykoupena, kdo za to mù¾e?</br>Více zde</br><i>napsal Honza Va¹ulka - specialista na politiku</i></br></br></br> <strong>Jak na to. </strong></br>Nejnovìj¹í rady Zdeòka a Laïy ze seriálu Rady ptáka otvíráka.</br> <i>napsal Tomá¹ Fuk - specialista na hity </i></br></br></br><strong>Vızkum nejpopulárnìj¹í knihy Perníková chaloupka odhaliltajemství.</strong> Podle nejnovìj¹ího vızkumu má kniha Perníková chaloupka skrytı vıznam, konkrétnì...</br>Více zde</br><i>ovìøenı komunitní èlánek - napsal Prokop Buben</i>;9905;Jít zpìt;;;;;;;;
9907;Intro Bludi¹tì;;Beta verze 1.01 </br> Vítej </br> Bludi¹tì je nová hra, je stále v pøípravì </br>v budoucnu vyjdou doplòující updaty, </br>momentálnì ¾ádnı cíl némá je to jenom DEMO.</br> Prozatím lze hrát jen na poèítaèi. </br> Dá se ovládat pomocí <i>w,a,s,d</i> nebo <i>¹ipky</i>;https://teo.jacon.cz/game;<strong>hrát</strong>;9905;zpìt;;;;;;
9942;Vıbornì;;vítám tì na tajné stránce, </br> Jsem rád ¾e tì má hra natolik zaujala. </br> U¾ívej Fasterracer01;;;;;;;;;;
33;jsi doma ve své chaloupce;chaloupka_doma2.png;Najdi maliny a nasbírej je;23;na sever ;34;na vıchod;32;na západ;;;;
23;jsi na louce;paseka.png;kam chce¹ jít dál;13;na sever ;33;na jih;22;na západ;;;;
32;jsi na louce;paseka.png;kam chce¹ jít dál?;22;na sever ;33;na vıchod;;;;;;
34;jsi v lese;les.png;kam chce¹ jít dál?;35;na vıchod;33;na západ;;;;;;
13;jsi na louce;paseka.png;kam chce¹ jít dál?;23;na jih;14;na vıchod;12;na západ;;;;
22;jsi u øeky;reka.png;kam chce¹ jít dál? ;12;na sever ;32;na jih;23;na vıchod;;;;
12;jsi u øeky;reka.png;kam chce¹ jít dál?;22;na jih;13;na vıchod;;;;;;
14;jsi v lese;les.png;kam chce¹ jít dál?;15;na vıchod;13;na západ;;;;;;
15;jsi v lese;les.png;kam chce¹ jít dál?;25;na jih;14;na západ;;;;;;
25;jsi na pasece rostou tu maliny;paseka_malinyxcf.png;Sesbí­rej maliny, nebo bì¾ jinam;15;na sever ;35;na jih;125;Sbí­rat maliny;;;;
35;jsi v lese ;les.png;kam chce¹ jít dál?;25;na sever ;34;na západ;;;;;;
125;jsi na pasece rostou tu maliny;paseka_malinyxcfnoc.png;Setmìlo se a ty neví¹ kudy domù, kam chce¹ jít dál?;135;na jih;126;na vıchod;;;;;;
126;Jsi v lese ;les.png;kam chce¹ jít dál?;136;na jih;125;na západ;;;;;;
134;Jsi v lese;les.png;kam chce¹ jít dál?;144;na jih;135;na vıchod;;;;;;
135;Jsi v lese;les.png;kam chce¹ jít dál?;125;na sever ;145;na jih;136;na vıchod;134;na západ;;
136;Jsi v lese;les.png;kam chce¹ jít dál?;126;na sever ;146;na jih;135;na západ;;;;
144;Jsi v lese;les.png;kam chce¹ jít dál?;134;na sever ;145;na vıchod;;;;;;
145;Jsi na pasece u vysokého stromu;vysokystromnoc.png;Mù¾e¹ na nìj vylézt, ale kdy¾ spadne¹ z velké vı¹ky mù¾es si ublí¾it, nebo mù¾e¹ jí­t jinam;135;na sever ;146;na vıchod;144;na západ;901;Vylézt na strom;;
146;Jsi v lese;les.png;kam chce¹ jít dál?;136;na sever ;145;na západ;;;;;;
901;Leze¹ na strom ;;Vyber vìtev na kterou pùjde¹;903;levá;902;pravá;;;;;;
903;Spadl jsi;;Nic se ti nestalo, mù¾e¹ lézt dál;901;lézt dál;;;;;;;;
902;Leze¹ na strom ;;Vyber dal¹í­ vìtev na kterou pùjde¹;903;levá;904;pravá;;;;;;
904;Leze¹ na strom ;;Vyber dal¹í­ vìtev na kterou pùjde¹;905;levá;906;pravá;;;;;;
906;Spadl jsi o vìtev ní¾;;Nic se ti nestalo, mù¾e¹ lézt dál;904;lézt dál;;;;;;;;
905;Leze¹ na strom ;;Vyber dal¹í­ vìtev na kterou pùjde¹;999;levá;909;pravá;;;;;;
999;Spadl jsi ze stromu;;Spadl jsi z velké vı¹ky a omdlel jsi;998;Dál;;;;;;;;
998;Doèetl jsi kní¾ku;;Chce¹ si jí pøeèíst je¹tì jednou, nebo ne;33;Ano;9902;Ne;;;;;;
909;Vylezl jsi úºplnì nahoru;;Mù¾es se rozhlédnout;910;Rozhlédnout se;;;;;;;;
910;Uvidìl jsi svìtélko;;Kousek od tebe jsi vidìl svìtélko, slez dolù a bì¾ tam;245;Slézt dolù;;;;;;;;
245;88;vysokystromnoc.png;Bì¾ nají­t svìtélko;355;na jih;246;na vıchod;244;na západ;;;;
244;Jsi v lese;les.png;kam chce¹ jít dál?;354;na jih;355;na vıchod;;;;;;
246;Jsi v lese;les.png;kam chce¹ jít dál?;356;na jih;245;na západ;;;;;;
354;Jsi v lese;les.png;kam chce¹ jít dál?;244;na sever ;355;na vıchod;;;;;;
355;Jsi v lese;les.png;kam chce¹ jít dál?;245;na sever ;356;na vıchod;354;na západ;;;;
356;Jsi na pasece u perníkové chaloupky;pernchalupka 2.png;Je tma a jsi unavenı, mù¾e¹ jí­t dovnitø, nebo jí­t jinam;246;na sever ;355;na západ;801;Jí­t dovnitø™;;;;
801;V perníkové chaloupce;;V perníkové chaloupce byla bába, ta tì zaèala krmit, jen co jsi ve¹el do dveøí, kdy¾ jsi jedl zatopila v kamnech. U¾ jsi se najedl dost a bába chce, aby jsi si sednul na lopatu pøed pecí­;802;Sednout si;804;"Zeptat se: ,, jak si na ní­ mám sednout?""";;;;;;
802;Bába tì se¾rala;;Bába tì v peci upekla;1802;Dál;;;;;;;;
1802;Doèetl jsi kní¾ku;;Chce¹ si jí pøeèíst je¹tì jednou, nebo ne;33;Ano;9902;Ne;;;;;;
804;V perníkové chaloupce;;"Bába si na lopatu neochotnì sedla a øekla: ,,takhle."" Co udìlá¹?";801;"øeknu ,,U¾ vím""";805;Hodit bábu do pece;;;;;;
805;V perníkové chaloupce;;Bába shoøela v peci, mù¾e¹ jí­t ven;456;Jí­t ven;;;;;;;;
456;Jsi na pasece u perní­kové chaloupky;pernchalupka den2.png;Celı den jsi nebyl doma, bì¾ domù;446;na sever ;455;na západ;;;;;;
455;Jsi v lese;les.png;kam chce¹ jít dál?;445;na sever ;456;na vıchod;454;na západ;;;;
454;Jsi v lese;les.png;kam chce¹ jít dál?;444;na sever ;455;na vıchod;453;na západ;;;;
453;Jsi na louce se studnou;studna2.png;Chce¹ si prohlédnout studnu, nebo jít dál;443;na sever ;454;na vıchod;452;na západ;1101;Podí­vat se na studnu;;
1101;Jsi u studny;studna_pohled_dovnitr3.png;Studna vyschla, je u ní papír;453;jít pryè;1102;pøeèíst si papír;1103;jít dovnitø;;;;
1102;Papír;;Je na nìm hádanka: Studna je vyschlá co je vní?     (Coming soon);1101;Zpìt;;;;;;;;
1103;Ve studnì;;Spadl si ze ¾ebøíku a jsi na dnì a to doslova, </br> Nebo pùjde¹ je¹tì ní¾? </br> (cominng soon!);1101;jít nahoru;;;;;;;;
452;jsi na louce;paseka.png;kam chce¹ jít dál?;42;na sever ;453;na vıchod;;;;;;
42;Jsi na louce;paseka.png;Nìco se ti tu nezdá, chce¹ se po tom poohlédnout, nebo jí­t pryè?;432;na sever ;452;na jih;443;na vıchod;4242;Poohlédnout se tu;;
4242;Jsi na louce;paseka.png;Gratuluji na¹el jsi velikonoèní­ vajíèko, je na nìm napsáno #osmnáctimí­stnıkód, ;42;jít pryè;;;;;;;;
443;Jsi na louce;paseka.png;kam chce¹ jít dál?;433;na sever ;453;na jih;444;na vıchod;42;na západ;;
444;Jsi v lese s vlkem ;;Mù¾e¹ ho pohladit, nebo jí­t dál;434;na sever ;454;na jih;445;na vıchod;443;na západ;1106;pohladit vlka
1106;Boj s vlkem;;Vlk se na tebe vrhnul a konec;1111;dál;;;;;;;;
1111;Doèetl jsi kní¾ku;;Chce¹ si jí pøeèíst je¹tì jednou, nebo ne;33;Ano;9902;Ne;;;;;;
445;Jsi na pasece s vysokım stromem;vysokystrom.png;kam chce¹ jít dál?;435;na sever ;455;na jih;446;na vıchod;444;na západ;;
436;Jsi v lese;les.png;kam chce¹ jít dál?;426;na sever ;446;na jih;435;na západ;;;;
435;Jsi v lese;les.png;kam chce¹ jít dál?;425;na sever ;445;na jih;436;na vıchod;434;na západ;;
434;Jsi v lese;les.png;kam chce¹ jít dál?;444;na jih;435;na vıchod;433;na západ;;;;
433;Jsi u svého domu;chaloupka_doma2.png;Jsi u svého domu, Chce¹ jít dál?;423;na sever ;443;na jih;434;na vıchod;432;na západ;9433;jít dovnitø
9433;Gratuluji;;Dokonèil jsi mou hru ;9904;dál;;;;;;;;
432;Jsi na louce;paseka.png;kam chce¹ jít dál?;422;na sever ;42;na jih;433;na západ;;;;
422;jsi u øeky;reka.png;kam chce¹ jít dál?;412;na sever ;432;na jih;423;na vıchod;;;;
423;Jsi na louce;paseka.png;kam chce¹ jít dál?;413;na sever ;433;na jih;422;na západ;;;;
425;jsi na pasece rostou tu maliny;paseka_malinyxcf.png;kam chce¹ jít dál?;415;na sever ;435;na jih;426;na vıchod;;;;
416;Jsi v lese;les.png;kam chce¹ jít dál?;426;na jih;415;na západ;;;;;;
415;Jsi v lese;les.png;kam chce¹ jít dál?;425;na jih;416;na vıchod;414;na západ;;;;
414;Jsi v lese;les.png;kam chce¹ jít dál?;415;na vıchod;413;na západ;;;;;;
413;Jsi na louce;paseka.png;kam chce¹ jít dál?;423;na jih;414;na vıchod;412;na západ;;;;
412;jsi u øeky;reka.png;kam chce¹ jít dál?;422;na jih;413;na vıchod;;;;;;
446;Jsi v lese;les.png;kam chce¹ jít dál?;436;na sever ;456;na jih;445;na západ;;;;
426;Jsi v lese;les.png;kam chce¹ jít dál?;416;na sever ;436;na jih;425;na západ;;;;
;;;;;;;;;;;;;
10000;Zákopová bitva;;Jsi obèanem vojensky zaostalé zemì, kterou napadly zemì Banána¹tánu, </br> v¹ichni bojeschopní mu¾i byli povoláni do armády. </br> Tato zemì je chud¹í, men¹í a slab¹í ne¾ zemì Banána¹tánu. </br> Díky pomoci spøátelenıch zemí jste vyrovnali poèty vojákù, </br> ale máte vıraznì ménì zásob munice, zbraní a máte zastaralej¹í techniku.;10001;dál;9905;;;;;;;
10001;Úvod do hry;;Nestal jsi se jedním ze ¹»astlivcù, </br> nedostal jsi vızbroj, má¹ jenom boty, uniformu a nù¾ </br> </br> </br>;10002;dál;;;;;;;;
10002;Úvod do hry;;Hned druhı den tvého vojenského vıcviku, byla tvoje zemì napadena zemìmi Banána¹tánu. </br> Zastihli vás pøi budování zákopù. Na¹tìstí pro vás zasáhla na bitevním poli píseèná bouøe. </br> Vznikl zmatek, polovina armády byla úplnì bez vıcviku, pøi bombardování, útocích a ostøelování byli zmatení a nevìdìli co dìlat </br> </br>;10003;dál;;;;;;;;
10003;Druhá linie zákopu;;Jsi v druhé linii zákopù, </br> v píseèné bouøi mimo zákop nevidí¹ na krok, </br> zùstat tady nemù¾e¹, tyto zákopy jsou blízko nepøíteli, </br> a hrozí ¾e ka¾dou chvíli zaútoèí. </br> Kam se vydá¹ se vydá¹?;10004;na levou stranu zákopu;;;;;;;;
10004;V zákopu druhé linie;;Nepøátelùm se povedlo zprovoznit kulomety a zaèali kosit obzor, </br> to ti uzavøelo mo¾nost ustoupit do vzdálenìj¹ích zákopù, je je¹tì jedna mo¾nost jak ustoupit, </br> musí¹ najít tunel, kterı zákopy spojuje. </br> Kam pùjde¹ dál? </br>;10005;dál do leva;10060;na bitevní pole;;;;;;
10005;V zákopu druhé linie;;Na¹el jsi skupinku vojákù z tvé armády, </br> v¹ichni vyzbrojení, sna¾í se vymyslet co dál. </br> Mù¾e¹ se k nim pøidat, nebo pokraèovat.;10007;pokraèovat;10006;pøidat se;;;;;;
10006;V zákopu druhé linie;;Vojáci mezi sebe neberou nikoho bez vızbroje </br> </br> </br> </br>;10005;dál;;;;;;;;
10007;Rozcestí v zákopu;;Na¹el jsi prùchod do první linie zákopù, </br> pùjde¹ tam, nebo pùjde¹ dál? </br> </br> </br>;10008;dál;10011;Do první linie;;;;;;
10008;Do¹el jsi na konec druhého zákopu;;Le¾í zde na zemi tvùj pøítel, </br> z posledních sil ti øekne ,,Ve válce nikdo nevyhraje'' </br> </br> </br>;10007;jít zpìt;;;;;;;;
10011;V zákopu první linie;;V první linii nezùstal nikdo ¾ivı. Kdy¾ najde¹ nìkoho ozbrojeného, mù¾e¹ mu vıbavu vzít. </br> Co udìlá¹? </br> </br> </br>;10012;podívat se;10007;jít zpìt;;;;;;
10012;V zákopu první linie;;Jednoho jsi na¹el. Dostal ránu z kulometu do hlavy. Byl ozbrojen. </br> Co udìlá¹? </br> </br> </br>;10018;vemu si jeho vızbroj;10013;pùjdu pryè;;;;;;
10013;V zákopu první linie;;Palba z kulometù ustala a vojáci Banána¹tánu zahájili útok. </br> Kam pùjde¹? </br> </br> </br>;10014;vybìhnout ze zákopu do zadních linií;10017;zùstat a skrıt se;;;;;;
10014;Na bitevním poli;;Sebral jsi se a bì¾el jsi rychle zpìt, zahlédli tì vojáci z tøetí linie a v domìní ¾e jsi nepøítel tì zastøelili. </br> </br> </br> </br>;10015;dál;;;;;;;;
10015;Game over;;Chce¹ si je¹tì zahrát? </br> </br> </br> </br>;10000;Ano;9902;Ne;;;;;;
10017;Schovanı v zákopu první linie;;Vojáci Banána¹tánu, si tì nev¹imli. </br> Vojáci tvé armády zahájily útok a tvoje armáda rozchodila dìla, </br> jedno v¹ak bylo znaènì po¾kozené a nepøesné, </br> dìlovı granát y tohoto dìla dopadl vedle tebe a skoncoval s tebou. </br>;10015;dál;;;;;;;;
10018;Vızbroj;;Z vızbroje má¹ helmu a revolver s náboji. </br> </br> </br> </br>;10019;jít pryè;;;;;;;;
10019;V zákopu první linie;;Palba z kulometù ustala a vojáci Banána¹tánu zahájili útok.</br>  Co udìlá¹? </br> </br> </br>;10020;zùstanu a budu bojovat;10021;uteèu po bitevním poli do zadních linií;;;;;;
10020;V zákopu první linie, souboj;;Byla jich znaèná pøesila, </br> tøi jsi zabil, jednoho postøelil a páty tì znièil granátem. </br> </br> </br>;10015;dál;;;;;;;;
10021;Na bitevním poli;;Tví vojáci tì poznali, </br> dostal jsi se do tøetí linie, vojáci z druhé linie na nepøítele zaútoèili, ale je jich ménì, dlouho nevydr¾í. </br> Kam pùjde¹? </br> </br>;10022;do leva;10040;do prava;;;;;;
10022;V zákopu tøetí linie;;Na¹el jsi tì¾kı kulomet a dva vojáky jak se ho sna¾í zprovoznit. </br> Pomù¾e¹ jim, nebo ne. </br> </br> </br>;10024;Ano;10023;Ne;;;;;;
10023;V zákopu tøetí linie;;Kam pùjde¹? </br> </br> </br>;10022;do leva;;;;;;;;
10024;V zákopu tøetí linie, u kulometu;;Jsi povoláním mechanik, tvoji pomoc pøijali a spoleènì jste kulomet rozchodili, </br> zaèali jste pálit a tím jste znemo¾nili postup nepøíteli. Jedniná cesta pro nì je spojnice limií. </br> Ve chvíli zaèala dìla nepøítele ostøelovat zákopy, je èas vypadnout. </br> V pátem zákopu jsou vozidla a velení. Rozhodni se jestli se pokousí¹ dezertovat, nebo informovat velení. </br> Má to spoleènou cestu. Na konci se bude¹ moci rozhodnout.;10025;Ano;;;;;;;;
10025;V zákopu tøetí linie;;Nepøátel¹tí vojáci se blí¾í, na¹li prùchod mezi zákopy a ¾enou se smìrem k tobì, </br> je jich veliká pøesila, musí¹ najít prùchod a utéct. </br> </br> </br>;10026;jít dál;;;;;;;;
10026;V zákopu tøetí linie;;Vidí¹ nepøátelské vojáky, tøi metry od tebe je prùchod, </br> pokud pùjde¹ rovnou tam hrozí, ¾e tì spatøí a zabijí.  </br>Co udìlá¹? </br> </br>;10027;zaútoèit;10028;projít prùchodem;;;;;;
